mag,time,x,y,nnd,parent,T,R
1.664946487,2883.344,22.213626,15.584275,5.895205462142525e-06,92,0.2540873252103579,2.3201493648933126e-05
1.314425463,2883.479,21.430457,27.27189,4.449012388769393e-06,2360,3.5099949269469776e-05,0.12675267290597425
1.642526264,2883.709,13.793373,32.421176,2.460993398496178e-06,2357,0.00040804970797306587,0.006031111774888517
1.52362712,2883.936,20.815314,19.703274,3.998496569701142e-06,2360,0.00015391977753752558,0.02597779592506434
1.631462547,2884.263,15.329031,28.60213,6.213618104908588e-07,2001,0.029321173880400377,2.1191573469239775e-05
1.483597151,2884.509,17.264629,27.131832,7.194714160412716e-07,2364,6.704333806847327e-05,0.010731437854518147
1.487580501,2884.6,17.914105,29.29021,3.574897322689551e-07,2365,3.053230574926896e-05,0.011708573050612611
1.502750748,2884.717,14.32051,31.783634,5.09412310850459e-07,2362,0.0002704734994948727,0.0018834093240255349
1.276680618,2884.822,16.675709,34.680129,8.762449208628506e-07,2367,3.429342709684555e-05,0.02555139556009703
1.517006826,2884.934,16.450935,29.493477,2.6681210097436957e-07,2243,0.01127860932065456,2.3656471590496134e-05
1.55294162,2885.474,15.753763,29.764737,3.3068385211103135e-07,2369,0.0001728659749238647,0.0019129493369454246
1.684041316,2885.658,21.275962,12.921318,4.528029724523501e-07,317,0.2507801655311089,1.8055772931379641e-06
1.445724999,2886.351,25.630295,8.20524,8.26713384294583e-06,2371,0.00017540631378872048,0.04713133560804268
1.332098004,2886.829,13.261763,31.072193,3.161793719460917e-06,2367,0.0006897877907478857,0.0045837194596222396
1.459162323,2887.37,12.741739,33.269784,2.9932986421771346e-06,2358,0.0012513390868851891,0.0023920763552811256
1.437822174,2887.473,15.403509,32.454235,3.1193122593676673e-07,2357,0.001692246280557332,0.00018432968624048848
1.583923526,2887.578,14.76714,26.951541,9.401833953792531e-07,2350,0.0022596097763043486,0.00041608219491639294
1.554055923,2887.865,15.220971,31.622765,3.6881179401781583e-07,2375,0.00014026777484938758,0.0026293408761479766
1.720216235,2888.479,16.52886,28.180599,2.471577625979606e-06,2376,0.0002625283451479799,0.00941451721941281
1.439421792,2888.707,14.429037,30.948238,1.6709766594431093e-08,2356,0.0024855189476800724,6.722848204407218e-06
1.537391015,2888.866,16.535725,28.557362,4.46728504386462e-08,2378,9.309617478793634e-05,0.0004798569924103373
1.507754705,2888.937,20.42953,31.430785,8.14149248489229e-07,2380,2.2086454039315112e-05,0.036861926637929206
1.564814364,2889.161,17.902271,29.400996,1.441502950539432e-07,2366,0.0015217585507903849,9.472612785981921e-05
1.682362975,2889.673,17.561103,25.440574,1.692778920769552e-06,2038,0.031152470551808125,5.4338512830126117e-05
1.526690821,2889.752,17.461065,22.749897,2.3584451355415602e-07,2383,2.0043058740167882e-05,0.011766892299801771
1.519773696,2890.419,14.97444,27.10772,5.535394676623412e-08,2350,0.003181429330365301,1.7399081047598883e-05
1.393832124,2890.732,19.867063,22.66347,3.7898055312398056e-06,2384,0.000309476775277004,0.012245847940762783
1.452231874,2890.902,17.949275,35.461454,1.408407159735646e-05,2386,6.471193436612504e-05,0.21764256833479997
1.37261244,2891.128,20.596332,19.419624,1.3315031510768873e-06,2363,0.0022809858506051836,0.0005837402063338609
1.687938942,2891.306,16.710244,31.32624,4.902970741770165e-06,2387,0.0001416620634224417,0.03461032984638462
1.473890948,2891.718,14.477601,32.722446,1.1684728699450932e-06,2389,0.00010371200274234105,0.011266515341025782
1.517863162,2891.851,17.048526,34.533924,9.14966331566966e-07,2390,4.5237353124989327e-05,0.020225903337866474
1.550853206,2892.382,12.286136,34.78261,4.253254620949613e-06,2390,0.0002258466351499447,0.018832490544416484
1.564274521,2893.159,19.740763,23.541741,2.761369131377124e-06,2386,0.0009238580276854526,0.002988953982783696
1.457238983,2893.901,14.066731,29.688832,4.381197120762492e-06,2326,0.005675206139615847,0.0007719890719351126
1.418601807,2894.342,17.957348,34.868009,1.7451884087616822e-06,2387,0.0012062314311218107,0.0014468105901855291
1.630727992,2894.658,14.194049,35.149466,3.399538201405003e-06,2395,0.00011617062319677371,0.029263320690350016
1.368740218,2894.936,16.793567,16.107388,1.687969842690154e-05,2291,0.0062310281859680565,0.0027089748149292155
1.442039146,2895.915,16.846306,31.735069,7.219385497287377e-07,2389,0.0011602150986399652,0.0006222454358463471
1.335101919,2896.256,18.269583,29.029569,2.138124792111276e-06,2382,0.0021236028311312338,0.0010068383601524523
1.68534056,2896.346,14.604523,27.275859,1.3563470030962102e-06,2385,0.001889996627215264,0.0007176451976502533
1.356754078,2896.459,15.669424,26.105001,1.429609631594128e-07,2400,2.854940194142007e-05,0.005007494148310058
1.695494791,2896.656,16.740747,26.131783,3.3649498113162705e-07,2401,7.900313390199706e-05,0.004259261177525528
1.481913227,2896.91,15.808581,26.119789,2.965574554145268e-08,2401,0.0001808650425877226,0.00016396615463747864
1.374786868,2897.283,17.154211,31.982949,3.727363903193483e-07,2398,0.0004866119152529376,0.0007659828677347581
1.369322014,2897.674,16.684383,33.849889,1.6207589229129061e-06,2404,0.00015287718526773837,0.01060170567684395
1.44847151,2897.82,14.995636,34.527137,5.614922717422508e-07,2405,5.75249203018499e-05,0.009760852666912678
1.312354642,2898.221,13.117829,32.913911,2.020413152673622e-06,2406,0.00014135557151351852,0.014293127119367914
1.487130055,2898.409,15.120788,27.371885,4.46699948661795e-07,2400,0.0005212160726127577,0.0008570341018506441
1.700382177,2898.52,17.560391,26.333555,5.598412541354799e-07,2408,3.7058149870696145e-05,0.015107102110841649
1.528226634,2898.641,14.253123,34.995982,1.569318824303159e-07,2396,0.0010866242757616171,0.0001444214766141885
1.446815069,2898.881,15.369847,30.826301,2.3520033126031207e-06,2410,7.562673417252214e-05,0.031100157085160587
1.51840432,2899.412,17.263181,26.36213,7.502321241732987e-08,2409,0.0002206469292405085,0.00034001475876219167
1.337159873,2899.497,15.380005,31.477559,3.682110195820007e-07,2411,0.0002176510754096265,0.0016917491397137156
1.438414655,2899.698,15.042732,30.212065,5.000432483501255e-07,2413,8.285902906487869e-05,0.006034867340270078
