nthresh,n_clusters,avg_nodes_per_cluster,avg_diameter,avg_depth,max_depth,avg_out_degree,max_out_degree,avg_branching,degree_mean,max_degree,degree_std,mean_betweenness,max_betweeness,mean_closeness,max_closeness,largest_num_nodes,largest_avg_depth,largest_max_depth,largest_avg_out_degree,largest_max_out_degree,largest_diameter,largest_branching,largest_degree_mean,largest_degree_max,largest_degree_std,largest_mean_betweenness,largest_max_betweenness,largest_mean_closeness,largest_max_closeness,loc_err,sim
1.8483187845082987e-05,122,35.00819672131148,9.951219512195122,55.61765394521189,125,0.971435261062983,8,1.563889935921598,1.942870522125966,9,1.0260092663372322,0.010371594071040283,0.42299470667845035,0.010026232664558501,0.018868134700674517,3416,66.68325526932084,125,0.9997072599531616,8,178,1.5802869042110135,1.9994145199063231,9,1.014531252301722,0.020196806492960837,0.661355146880342,0.014953191532839872,0.023592074720901957,10,82
1.900683797103533e-05,117,36.504273504273506,11.25,41.44415827675017,96,0.9726059470849918,7,1.5716988270904275,1.9452118941699836,8,1.0281884676414224,0.0031426157363214297,0.1618364078924198,0.007732460439205012,0.018548693816114372,2175,53.99264367816092,96,0.9995402298850574,6,116,1.578794480755265,1.9990804597701148,7,1.007557228269873,0.020425997692624785,0.6244691583712629,0.022967865533364534,0.03643188711812713,10,83
2.0208978665093332e-05,109,39.18348623853211,13.2,37.27534535237649,82,0.9744790447202061,6,1.5970836531082118,1.9489580894404122,7,1.055126835762084,0.0049986344054737215,0.20814191741233434,0.0075973023047571945,0.014369761409950057,2467,46.14065666801783,82,0.9995946493717065,6,149,1.6191726854891662,1.999189298743413,7,1.0477064685216941,0.02411416710058367,0.624170997369499,0.017042770710101497,0.02488194696694515,10,84
1.9925533147202693e-05,94,45.43617021276596,13.263157894736842,28.445094825567782,74,0.9779911027862327,10,1.6022247794399693,1.9559822055724654,11,1.0572164136178763,0.0022593459344840442,0.07678646173629065,0.006574822140046278,0.013432182941155581,1569,40.083492670490756,74,0.9993626513702996,6,131,1.5886524822695036,1.9987253027405991,7,1.0154941939776017,0.031109317770017388,0.5696703697433025,0.020823596217608237,0.02995911192632504,10,85
1.6613512753944178e-05,125,34.168,10.377777777777778,47.42495902598923,138,0.9707328494497776,7,1.565118912797282,1.9414656988995551,8,1.0302571238355867,0.007244649700321742,0.2899838331240472,0.008936641954594583,0.01705666680289548,2911,61.63139814496736,138,0.9996564754379939,7,188,1.5746753246753247,1.9993129508759877,8,1.0083809952105427,0.021935544470997884,0.6244405618775243,0.01616868029566484,0.025028167439300242,10,86
1.8182088823735703e-05,124,34.443548387096776,10.767441860465116,50.72254741278389,128,0.9709669866541794,7,1.563136072370901,1.9419339733083587,8,1.0232144621195638,0.004424459294045292,0.16139216167095388,0.007658531550972779,0.014517960667089894,2188,68.2298903107861,128,0.9995429616087751,7,150,1.5576923076923077,1.9990859232175502,8,0.9999995822317306,0.025407942964196222,0.6153717111552043,0.018437359873805317,0.028345538202320004,10,87
1.929776571118186e-05,100,42.71,12.783783783783784,40.50878014516507,111,0.976586279559822,8,1.584726443768997,1.953172559119644,9,1.0351620212155956,0.004440418735560649,0.13348298802488173,0.008195265417916845,0.01482012225498285,2118,57.037299338999055,111,0.9995278564683664,7,143,1.5941265060240963,1.9990557129367328,8,1.0283971116165405,0.023651038269003253,0.5431795716197887,0.020334845298355345,0.029892263594131684,10,88
1.789471768071973e-05,126,33.8968253968254,10.395348837209303,46.24233200655584,105,0.9704987122453758,9,1.58751436231329,1.9409974244907515,10,1.0549335934886896,0.006414103082390518,0.30037792198316604,0.0093854908611587,0.019286731359438317,2881,57.486289482818464,105,0.9996528982992017,9,137,1.6134453781512605,1.9993057965984034,10,1.0522613475882894,0.019832326341881767,0.6603708367102775,0.01787967895698597,0.02859525795305612,10,89
1.880000641834578e-05,98,43.58163265306123,10.484848484848484,56.84546944509483,116,0.9770545539686256,7,1.5753114382785958,1.9541091079372512,8,1.0327130419024477,0.012055551347983444,0.45659053916833026,0.011300989279402134,0.019360662542254003,3685,64.49308005427409,116,0.9997286295793758,7,174,1.583154275891706,1.9994572591587516,8,1.0141467347469573,0.018756117994876854,0.6134223534312507,0.014836382543348691,0.02244029018876889,10,90
1.9776341000148205e-05,102,41.872549019607845,12.054054054054054,47.915008194802155,107,0.9761180051510185,9,1.5714285714285714,1.952236010302037,10,1.0330814832313382,0.005556550131178305,0.2025153837671838,0.007378479307866054,0.013937725323901936,2398,59.78065054211843,107,0.9995829858215179,9,148,1.595872170439414,1.9991659716430359,10,1.0428673366626908,0.026424168014755556,0.6427723719758212,0.016034984734488267,0.024828572020467777,10,91
1.6952117279349443e-05,141,30.29078014184397,10.075471698113208,41.6843830484664,99,0.9669866541793491,8,1.5643939393939394,1.9339733083586983,9,1.044478012302044,0.0034572636589535353,0.09962712502256066,0.007489486636714875,0.01617863402707201,1739,57.19206440483036,90,0.9994249568717654,6,108,1.5771324863883847,1.9988499137435307,7,1.0156899376062098,0.023709999555962976,0.6015642752705782,0.02471315339185849,0.03974842767295597,10,92
